"","date","vax1","agec","hh_infected","countsUninf","countsInf"
"171",2020-06-29,FALSE,3,FALSE,61,0
"172",2020-06-29,FALSE,1,TRUE,37,0
"173",2020-06-29,FALSE,2,TRUE,70,0
"174",2020-06-29,FALSE,3,TRUE,37,0
"175",2020-06-30,FALSE,1,FALSE,40,0
"176",2020-06-30,FALSE,2,FALSE,99,0
"177",2020-06-30,FALSE,3,FALSE,61,0
"178",2020-06-30,FALSE,1,TRUE,37,0
"179",2020-06-30,FALSE,2,TRUE,70,0
"180",2020-06-30,FALSE,3,TRUE,37,0
"181",2020-07-01,FALSE,1,FALSE,40,0
"182",2020-07-01,FALSE,2,FALSE,99,0
"183",2020-07-01,FALSE,3,FALSE,61,0
"184",2020-07-01,FALSE,1,TRUE,37,0
"185",2020-07-01,FALSE,2,TRUE,70,0
"186",2020-07-01,FALSE,3,TRUE,37,0
"187",2020-07-02,FALSE,1,FALSE,40,0
"188",2020-07-02,FALSE,2,FALSE,99,0
"189",2020-07-02,FALSE,3,FALSE,61,0
"190",2020-07-02,FALSE,1,TRUE,37,0
"191",2020-07-02,FALSE,2,TRUE,70,0
"192",2020-07-02,FALSE,3,TRUE,37,0
"193",2020-07-03,FALSE,1,FALSE,40,0
"194",2020-07-03,FALSE,2,FALSE,99,0
"195",2020-07-03,FALSE,3,FALSE,61,0
"196",2020-07-03,FALSE,1,TRUE,37,0
"197",2020-07-03,FALSE,2,TRUE,70,0
"198",2020-07-03,FALSE,3,TRUE,37,0
"199",2020-07-04,FALSE,1,FALSE,40,0
"200",2020-07-04,FALSE,2,FALSE,99,0
"201",2020-07-04,FALSE,3,FALSE,61,0
"202",2020-07-04,FALSE,1,TRUE,37,0
"203",2020-07-04,FALSE,2,TRUE,70,0
"204",2020-07-04,FALSE,3,TRUE,37,0
"205",2020-07-05,FALSE,1,FALSE,40,0
"206",2020-07-05,FALSE,2,FALSE,99,0
"207",2020-07-05,FALSE,3,FALSE,61,0
"208",2020-07-05,FALSE,1,TRUE,37,0
"209",2020-07-05,FALSE,2,TRUE,70,0
"210",2020-07-05,FALSE,3,TRUE,37,0
"211",2020-07-06,FALSE,1,FALSE,40,0
"212",2020-07-06,FALSE,2,FALSE,99,0
"213",2020-07-06,FALSE,3,FALSE,61,0
"214",2020-07-06,FALSE,1,TRUE,37,0
"215",2020-07-06,FALSE,2,TRUE,70,0
"216",2020-07-06,FALSE,3,TRUE,37,0
"217",2020-07-07,FALSE,1,FALSE,40,0
"218",2020-07-07,FALSE,2,FALSE,99,0
"219",2020-07-07,FALSE,3,FALSE,61,0
"220",2020-07-07,FALSE,1,TRUE,37,0
"221",2020-07-07,FALSE,2,TRUE,70,0
"222",2020-07-07,FALSE,3,TRUE,37,0
"223",2020-07-08,FALSE,1,FALSE,40,0
"224",2020-07-08,FALSE,2,FALSE,99,0
"225",2020-07-08,FALSE,3,FALSE,61,0
"226",2020-07-08,FALSE,1,TRUE,37,0
"227",2020-07-08,FALSE,2,TRUE,70,0
